,Custkey,Recency,Frequency,Monetary,Recency_pt_mm,Frequency_pt_mm,Monetary_pt_mm,Cluster,R,F,M,RFM_score,RFM_class
179,10013472,0.00411522633744856,4,3298.42,0.14824429362972108,0.17774785815218136,0.22820375595574852,2,1,1,1,3,family
180,10013509,0.004132231404958678,3,1864.1100000000001,0.14922008776903395,0.14095891508431174,0.17970467998814632,2,1,1,1,3,family
181,10013572,0.002288329519450801,5,3819.02,0.004055040853004399,0.20624865979268214,0.24077403858683288,2,1,2,1,4,family
182,10013574,0.0022522522522522522,1,824.33,0.0,0.0,0.11158249447384433,2,1,1,1,3,family
183,10013670,0.05,11,12700.12,0.6551377619305773,0.30670980390389146,0.3456489742479946,3,4,2,2,8,silver
184,10013870,0.03225806451612903,3,1416.16,0.5773507216224064,0.14095891508431174,0.15659986999389253,3,4,1,1,6,family
185,10013871,0.019230769230769232,10,6397.71,0.47982173125313604,0.2945860424082739,0.28540806657699413,3,3,2,2,7,silver
186,10013899,0.16666666666666666,8,6298.46,0.8479288988123537,0.2661797888452259,0.28404678028675934,3,5,2,2,9,gold
187,10014043,0.007692307692307693,79,89197.63,0.2905994207238807,0.5562591820149525,0.5228222919780638,1,2,4,4,10,gold
188,10014047,0.0034482758620689655,4,1281.74,0.1059214594439753,0.17774785815218136,0.14825603527691295,2,1,1,1,3,family
189,10014059,0.3333333333333333,1,304.62,0.9463178525890044,0.0,0.03038448683763101,3,5,1,1,7,silver
190,10014238,0.038461538461538464,104,298706.59,0.609088582114345,0.5908730958495447,0.637222624770607,0,4,5,5,14,diamond
191,10014264,0.009708737864077669,29,49107.94,0.3407717781109548,0.4297064859034904,0.4676274916477202,1,2,3,3,8,silver
192,10014471,0.5,118,360971.39,1.0,0.6067575404305102,0.6554686526476241,0,5,5,5,15,diamond
193,10014495,0.009900990099009901,4,1733.99,0.34493061252369744,0.17774785815218136,0.17360578606699636,3,2,1,1,4,family
194,10014533,0.002288329519450801,1,463.03,0.004055040853004399,0.0,0.06428458698587047,2,1,1,1,3,family
